vehicle,family,country,status,reusable,first_flight_date,num_flights,capex_program_usd,capex_program_year,capex_program_basis,capex_program_source,capex_first_launch_usd,capex_first_launch_year,capex_first_launch_basis,capex_first_launch_source,opex_marginal_usd,opex_marginal_year,opex_marginal_source,opex_price_usd,opex_price_year,opex_price_source,opex_fully_loaded_usd,opex_fully_loaded_year,opex_fully_loaded_source,payload_leo_kg,payload_leo_note,opex_per_kg_usd,opex_per_kg_basis,opex_per_kg_source,notes
"Original Atlas (SM-65 / Atlas D, Mercury-Atlas era)",Atlas,USA,retired,false,1957-06-11,24,8000000000.0,1959,"Full Atlas ICBM crash-program cost: missile R&D, production of ~350 missiles, and construction of 129 launch complexes (e.g. Vandenberg). Roughly one-fourth (~$2B) went to design/development, the remainder to production and launch-complex construction. Eisenhower-era, highest-national-priority Cold War program (comparable in scale to the Manhattan Project, ~$2B).",https://www.airandspaceforces.com/article/1009atlas/,,,"No figure isolating R&D cost through first flight (June 1957) exists separately from the whole-program total; only the rough ~$2B 'design and development' quarter-share of the $8B total is available, and it spans the full multi-year program through 1959 operational deployment, not just to first launch.",https://www.airandspaceforces.com/article/1009atlas/,,,,8300000.0,1965.0,http://www.astronautix.com/a/atlas.html,,,,1360,Atlas LV-3B / Atlas D configuration used for Mercury-Atlas; payload figure is the Mercury capsule mass to LEO.,6103.0,"LOW CONFIDENCE: unit price / capsule mass, secondary enthusiast source only",http://www.astronautix.com/a/atlas.html,"LOW-CONFIDENCE FIGURES FLAGGED: the $3.5M early estimate and $8.309M (1965$) unit-price figures trace only to Encyclopedia Astronautica/astronautix.com, a secondary enthusiast reference that could not be independently re-verified during this research (site returned HTTP 503) -- treat as indicative only. NASA's Project Mercury (Redstone + Atlas flights combined) cost $384.1M total (1963 accounting); the $82.9M 'launch vehicles' budget line spans ~20 missions across BOTH booster types and cannot be isolated to per-Atlas-launch cost. Flight count of 24 is an approximate tally of Atlas A/B/C/D orbital-relevant test and Mercury flights (350 missiles were built across the full SM-65 family, mostly as operational ICBMs never launched)."
Atlas V,Atlas,USA,active (retiring),false,2002-08-21,102,70000000000.0,2013,"Combined EELV program (Atlas V + Delta IV together) total cost estimate, FY1998-2030, covering R&D, procurement, and launch services -- NOT broken out by vehicle in any public GAO reporting found. An earlier GAO estimate put total EELV investment at ~$8.2B through FY2008 alone.",https://spacepolicyonline.com/news/gao-eelv-program-to-cost-70-billion-through-2030/,,,"No Atlas-V-specific R&D-to-first-launch (Aug 2002) figure found; only combined EELV concept-definition contracts exist ($30M x4 in 1995, $60M x2 in 1996, $500M x2 'other transaction agreements' in 1998), none isolated to Atlas V alone.",https://www.gao.gov/assets/a281772.html,,,,109000000.0,2016.0,https://en.wikipedia.org/wiki/Atlas_V,,,,9800,"Atlas V 401 configuration (4m fairing, no SRBs, single-engine Centaur) to LEO (185km, 28.5 deg); other configs range 8,210-18,850 kg.",11122.0,derived: 401-config list price / 401-config LEO capacity,https://en.wikipedia.org/wiki/Atlas_V,"Other observed government contract prices: $187M (2010 NASA MAVEN), $164M (2013 USAF block buy, 401 config), $132.4M (2015 NASA TDRS-M), $153M (2016 list price, 551 config). Production ended 2024; no new sales since Aug 2021; being retired in favor of Vulcan Centaur (first flew Jan 2024). ~100-109 launches depending on tally date (100 confirmed as of June 2024; ~7-9 remained in the manifest as of April-May 2026, mostly Boeing Starliner and Amazon Leo/Kuiper missions)."
Delta IV (Medium & Heavy),Delta,USA,retired,false,2002-11-20,45,70000000000.0,2013,"Combined EELV program (Atlas V + Delta IV together) total cost estimate, FY1998-2030 -- the same program-wide figure as Atlas V; not broken out by vehicle in public GAO reporting.",https://spacepolicyonline.com/news/gao-eelv-program-to-cost-70-billion-through-2030/,,,"No Delta-IV-specific R&D-to-first-launch (Nov 2002) figure found; only combined EELV concept-definition contracts exist, not vehicle-isolated.",https://www.gao.gov/assets/a281772.html,,,,350000000.0,2018.0,https://spacenews.com/cost-of-delta-4-heavy-launches-is-down-but-the-real-price-is-a-secret/,,,,28370,"Delta IV Heavy to LEO (200km circular, 28.7 deg); Delta IV Medium (post RS-68A upgrade) payload to LEO is a much lower ~8,510 kg -- a separate figure, not used here.",12336.0,derived: Heavy 'standard' price / Heavy LEO capacity,https://en.wikipedia.org/wiki/Delta_IV_Heavy,"Price citations vary widely by year/contract: generic $164M+ figure (unclear year/source), $350M 'standard' per ULA CEO Tory Bruno (2018), up to $440M for NRO missions, $389.1M (2015 NASA Parker Solar Probe contract), and an unspecified price below $300M per a 2018 SpaceNews industry source ('the real price is a secret'). A $1.18B five-year NRO operations-support contract modification (2019) and a $149M single-mission task order also exist but bundle production/ops support, not a clean marginal per-launch cost. 45 total Delta IV family flights (Medium+Heavy); Delta IV Heavy alone flew 16 (15 success, 1 partial failure on its 2004 maiden flight). Last Medium flight Aug 2019; last (final) Heavy flight April 2024 (NROL-70), retired in favor of Vulcan Centaur."
"Neutron (Rocket Lab, PRE-FIRST-FLIGHT / predicted)",Neutron,USA,in development (predicted),partial,,0,360000000.0,2025,"Company-projected cumulative R&D + capex through end of 2025, per Rocket Lab CFO Adam Spice on an earnings call; revised up from an original $250-300M estimate given at/around the 2022 Investor Day, due to schedule delays. ALL FIGURES ARE COMPANY-DISCLOSED PROJECTIONS, NOT AUDITED FINAL COSTS, since Neutron has not yet flown.",https://spacenews.com/rocket-lab-delays-first-neutron-launch-to-2026/,360000000.0,2025,"Same $360M figure serves as both program-to-date and cost-to-first-launch proxy since Neutron had not flown as of mid-2026 (first launch targeted Q4 2026 NET, already delayed from earlier targets); the two bases are not yet distinguishable.",https://spacenews.com/rocket-lab-delays-first-neutron-launch-to-2026/,,,,50000000.0,2023.0,https://www.cnbc.com/2023/03/24/rocket-lab-neutron-launch-price-challenges-spacex.html,,,,13000,"Partially reusable configuration (first stage lands downrange); 15,000 kg if fully expendable, 8,500 kg if first stage returns to launch site. From Rocket Lab's Payload User's Guide.",3846.0,derived: predicted target price / predicted reusable-mode LEO capacity,https://en.wikipedia.org/wiki/Rocket_Lab_Neutron,"ALL FIGURES ARE PRE-FLIGHT PREDICTIONS/COMPANY PROJECTIONS, not flight-proven costs. Price range has also been reported more recently as $50-55M in secondary sources. Rocket Lab has signed Neutron launch contracts (Nov 2024 two-launch deal; May 2026 eight-launch bundled Neutron+Electron deal, the largest in company history) but has not disclosed per-launch pricing for these deals. All cost figures are company self-reported via earnings calls/investor days, not independently audited."
New Glenn,New Glenn,USA,active (currently grounded after pad explosion),partial,2025-01-16,3,2500000000.0,2017,"Official Blue Origin figure (Jeff Bezos statement, April 2017), likely stale/understated given years of subsequent delays and cost growth; reiterated as still current as of Jan 2025 launch by some reporting. THIRD-PARTY ESTIMATES ARE MUCH HIGHER (see notes) and are explicitly not confirmed by Blue Origin.",https://nasawatch.com/commercialization/blue-origin-reveals-some-cost-numbers/,,,No figure distinguishing cost-to-first-launch (Jan 2025) from total cumulative spend was found; Blue Origin does not disclose a breakdown.,,,,,68000000.0,2024.0,https://www.forbes.com/sites/jeremybogaisky/2025/01/11/new-glenn-bezos-blue-origin-musk-spacex/,,,,45000,"Operational New Glenn 7x2 configuration to LEO; a future 9x4 configuration is claimed to exceed 70,000 kg but is not yet flying.",1511.0,derived: low end of commercial-price estimate range / rated LEO capacity,https://en.wikipedia.org/wiki/New_Glenn,"THIRD-PARTY DEVELOPMENT-COST ESTIMATES (not confirmed by Blue Origin): ~$10B per an anonymous former Blue Origin employee (Forbes, Jan 2025); ~$14B per Space Capital investor Chad Anderson -- but that figure is for ALL of Blue Origin's cumulative spending, not New Glenn specifically. Blue Origin separately spent >$1B rebuilding Launch Complex 36 (completed 2021) and received ~$500M in USAF/Space Force NSSL Phase 2 cost-share funding post-2019. Commercial price estimates range $68-110M (analyst estimates; no official Blue Origin list price). NASA's ESCAPADE mission (NG-2) was priced at only ~$20M under NASA's VADR program -- an atypical discount since Blue Origin wanted to fly the mission anyway, not representative pricing. USSF NSSL Phase 3 Lane 2 (April 2025): ~7 flights for $2.4B total (~$343M/mission avg) -- a national-security mission-assurance price. Flight history: NG-1 (Jan 2025, success, booster landing failed), NG-2 (Nov 2025, success, first successful booster landing), NG-3 (April 2026, upper-stage malfunction stranded payload, though reused booster landed -- first New Glenn booster reuse). May 28 2026: a New Glenn first stage exploded during a pre-launch static-fire test, damaging the pad; return-to-flight expected before end of 2026."
Soyuz,R-7 / Soyuz,Russia/USSR,active (declining cadence),false,1966-11-28,1100,,,"No reliable public total-program or to-first-launch cost figure exists in dollar or even ruble terms. Original R-7/Soyuz-era development (1950s-60s, Korolev's OKB-1) was never disclosed with an auditable budget, and Soviet-era ruble accounting under a non-convertible currency makes any dollar conversion methodologically suspect. A genuine, expected data gap for a Soviet-origin vehicle.",,,,Same gap as total program cost; no isolating figure exists.,,,,,48500000.0,2018.0,https://tass.com/science/1024055,,,,8300,"Soyuz-2.1b from Baikonur; secondary-source figure, varies 7,000-8,700 kg across sources/sites/variants -- the Soyuz family lacks one authoritative LEO number.",5843.0,derived: commercial price incl. Fregat upper stage / Soyuz-2.1b LEO capacity,https://tass.com/science/1024055,"Commercial price is from Glavkosmos Launch Services (Roscosmos's commercial arm), stated at the 2018 International Astronautical Congress: $48.5M with Fregat upper stage, $35M without. Earlier Starsem-era commercial pricing (late 1990s-2000s) ran $35-52M. Flight count is inconsistent between sources: Wikipedia's variant table sums to ~1,100+ Soyuz-designated launches, while prose text cites 'more than 1,700 flights' for the broader Soyuz lineage -- reflects genuinely poor consolidated bookkeeping for this family, not a research omission."
Proton,UR-500 / Proton,Russia/USSR,active (being phased out),false,1965-07-16,431,,,"No reliable dollar figure for the original Soviet UR-500/Proton development program (Chelomei design bureau, first flight 1965) exists publicly. Astronautix cites ~100 million rubles per launch as an internal Soviet OPERATING-cost figure (not development capex, and not reliably convertible to dollars given the non-convertible Soviet-era ruble) -- reported for context only, not used as a data point.",,,,Same gap as total program cost.,,,,,70000000.0,2015.0,https://tass.com/non-political/789170,,,,23000,"180km circular orbit, 51.5 deg inclination, Baikonur (Proton-M).",3043.0,derived: commercial ILS price / Proton-M LEO capacity,https://en.wikipedia.org/wiki/Proton-M,"Commercial (International Launch Services) price trajectory: ~$28-35M (late 1990s) -> ~$65-85M (2000s) -> $95M (2014) reduced to $69-70M (April 2015) per Roscosmos chief Igor Komarov. Current Wikipedia infobox cites $65M. Roscosmos (Dmitry Rogozin) later stated an ambition to match Falcon 9 pricing, without a further specific figure. Flight count (431) is for the entire Proton/UR-500 family since 1965 (Proton-M alone: 116 launches as of Feb 2026, 105 successful)."
H-II / H-IIA,H-II,Japan,retired (final flight June 2025),false,2001-08-29,50,2900000000.0,2004,"RAND Corporation's 2005 policy report: Japan invested 'over 320 billion yen' in the combined H-2 and H-2A launcher development through spring 2004 (~$2.9B nominal at ~110 JPY/USD, 2004 basis). Combined-family figure, matching how this dataset groups H-II and H-IIA together.",https://www.rand.org/pubs/technical_reports/TR184.html,,,"Not separately broken out from the combined H-II+H-IIA total above. Predecessor H-II alone reportedly had per-launch OPERATING costs of 14-19.5 billion yen (~$190M) -- an opex, not capex, figure, and a major driver for developing the cheaper H-IIA.",https://en.wikipedia.org/wiki/H-II,,,,90000000.0,2020.0,https://en.wikipedia.org/wiki/H-IIA,,,,12500,"Range 10,000-15,000 kg depending on configuration (202/204); midpoint used for the $/kg calc.",7200.0,derived: commercial price / midpoint LEO capacity,https://en.wikipedia.org/wiki/H-IIA,"49 of 50 H-IIA launches successful (98%), including a streak of 44 consecutive successes 2003-2025. Operated by Mitsubishi Heavy Industries under JAXA oversight since 2007. Final flight (GOSAT-GW) 28 June 2025."
H3,H3,Japan,active (stabilizing reliability),false,2023-03-07,9,,,No separate total-to-date figure found beyond the near-first-launch development cost below.,,1500000000.0,2023,"~200 billion yen development cost, per Spaceflight Now trade-press reporting around the time of the first (failed) launch attempt, Feb/March 2023 -- the best-documented, most consistently repeated figure for H3. Reported essentially at first-flight time, so likely functions as both total-program and to-first-launch cost; later fixes and the H3-30 variant's development are not separately broken out.",https://spaceflightnow.com/2023/03/07/japans-flagship-h3-rocket-fails-on-first-test-flight/,,,,33900000.0,2024.0,https://en.wikipedia.org/wiki/H3_(rocket),,,,16000,"H3-24 (2-SRB) config to ISS-type orbit (420km, 51.64 deg) -- NOTE: a DIFFERENT configuration than the one the ~$34-51M price applies to (H3-30, no-SRB, ~4,000 kg to SSO). This mismatch means $/kg cannot be honestly computed across configs; left blank rather than blended.",,not computed: price and payload figures apply to different configurations (see payload_leo_note),,"MHI's stated target price is ~JPY5 billion for the H3-30 (lightest, no-SRB) configuration -- roughly half an H-IIA flight. Reported dollar values range $33-51M depending on source/year and yen exchange rate used ($33.9M per Wikipedia at 2024 rates, $33M per Reuters/Al Jazeera wire coverage, $50M per Spaceflight Now 2023). Record: F1 failed (7 Mar 2023, 2nd-stage ignition failure), 5 straight successes, F8 failed (22 Dec 2025, payload-adapter delamination destroyed QZS-5), F9 succeeded (12 June 2026, first H3-30 flight, return-to-flight). Net: 9 launches, 7 successes, 2 failures as of mid-2026."
PSLV,PSLV,India,active (recent failures under review),false,1993-09-20,64,,,"No reliable original PSLV development-cost figure (1980s program through first 1993 flight) could be located in Wikipedia, ISRO's own site, or any Lok Sabha reply found -- a genuine gap. The oft-cited Rs 6,131 crore (2018 Cabinet approval, ~$750M 2023 basis) is a bulk-procurement/OPERATIONS budget for 30 flights 2019-2024, not development capex, and is deliberately excluded from this field.",,,,Same gap as total program cost.,,20800000.0,2023.0,https://payloadspace.com/oneweb-launch-shows-isros-budding-commercial-opportunities/,20000000.0,2023.0,https://en.wikipedia.org/wiki/Polar_Satellite_Launch_Vehicle,,,,3800,"PSLV-XL to 200km LEO at 30 deg inclination; ISRO's own site instead emphasizes 1,750 kg to 600km SSO, which is PSLV's more typical actual mission profile. Both reported since they are not interchangeable.",5470.0,derived: commercial price / PSLV-XL rated LEO capacity,https://en.wikipedia.org/wiki/Polar_Satellite_Launch_Vehicle,"Marginal-cost proxy is NSIL's $104M contract for 5 industry-built PSLV-XL rockets (~$20.8M/unit). Commercial price range across sources is $15-31M depending on mission/payload; a single PSLV-C37 104-satellite rideshare was reported at ~$15M. Two consecutive failures (PSLV-C61, May 2025; PSLV-C62, Jan 2026) linked to third-stage anomalies prompted an ISRO expert review. 64 flights as of Jan 2026 (58 success, 4 failure, 1 partial failure, 1 pending classification)."
GSLV Mk II,GSLV,India,active (no new production),false,2001-04-18,18,,,"No development-cost figure could be independently verified against a reliable primary or trade-press source; a commonly circulated '$500M' figure could not be confirmed against any cited reference and is therefore excluded rather than reported. What IS documented is production/procurement (not R&D) batch approvals: Rs 945 crore (April 2003, vehicles F01-F03 + long-lead items) and Rs 1,325 crore (Dec 2006, F04-F10).",,,,Same gap as total program cost.,,,,,47000000.0,2014.0,https://en.wikipedia.org/wiki/Geosynchronous_Satellite_Launch_Vehicle,,,,6000,"LEO capacity; GTO capacity is a separate and lower 2,500 kg, SSO 3,000 kg -- GSLV's typical actual missions are GTO, not LEO.",7833.0,derived: commercial price / rated LEO capacity,https://en.wikipedia.org/wiki/Geosynchronous_Satellite_Launch_Vehicle,"ISRO has stopped selling/producing new GSLV Mk II vehicles (as of Oct 2024) though it remains active for its remaining manifest (NVS, IDRSS, NISAR). 18 flights through July 2025 (12 success, 4 failure, 2 partial failure). opex_price_year of 2014 is an APPROXIMATION for CPI-adjustment purposes only -- the ~$47M figure is repeated across several years of secondary sources (roughly 2010s) without one specific year attached in the source material."
GSLV Mk III / LVM3 (bonus: better-documented sibling of GSLV),GSLV,India,active,false,2017-06-05,9,470000000.0,2023,"Rs 2,962.78 crore total development cost, per Government of India, Department of Space, Lok Sabha Unstarred Question no. 3713 ('GSLV MK-III'), dated 12 August 2015 -- a genuine primary parliamentary source, the best-documented development-cost figure in this entire dataset.",https://en.wikipedia.org/wiki/LVM3,470000000.0,2023,"Same Lok Sabha figure, reported ~2 years before the first orbital flight (June 2017); functions as both total-program and to-first-launch cost since it predates operational status.",https://en.wikipedia.org/wiki/LVM3,52000000.0,2018.0,https://en.wikipedia.org/wiki/LVM3,60000000.0,2022.0,https://payloadspace.com/oneweb-launch-shows-isros-budding-commercial-opportunities/,,,,8000,"ISRO's own site states 8,000 kg to 600km LEO; Wikipedia's infobox instead states 10,000 kg -- a genuine discrepancy between the two best sources, both reported. GTO: 4,000 kg (ISRO) / 4,200 kg (Wikipedia).",7500.0,derived: commercial NSIL/OneWeb price / ISRO-stated LEO capacity,https://payloadspace.com/oneweb-launch-shows-isros-budding-commercial-opportunities/,"Marginal/production-cost proxy: Rs 4,338 crore approved June 2018 for a 10-rocket production batch (~Rs 433.8 crore/~$52M per unit). Commercial price is from two firm NSIL/OneWeb launch contracts at $60M/launch (vs. ~$67M for a contemporaneous dedicated Falcon 9). Not one of the user's originally requested 20 vehicles (which asked for 'GSLV' generically, mapped to GSLV Mk II above) -- included as a bonus row because LVM3's development cost is far better documented via a primary Lok Sabha source, and it usefully anchors the India cluster. All 9 orbital flights successful to date."
Terran R,Terran R,USA,"in development (predicted, pre-first-flight)",partial,,0,1340000000,2026,"ALL FIGURES ARE PRE-FLIGHT / PREDICTED. Cumulative total company funding raised by Relativity Space across 8 rounds since founding (largest: $650M Series E, June 2021), used as a capex proxy since no standalone Terran-R-specific dev cost is disclosed -- this capital also funded the earlier Terran 1 program (flew once, March 2023, reached space but not orbit; retired in favor of Terran R). Payload Research's 2024 estimate separately reported the company's own belief the program would cost less than SpaceX's ~$1.3-1.9B (inflation-adjusted) reusable-Falcon-9 program.",https://tracxn.com/d/companies/relativity-space/__h5W7c_vzbvwpDtWeLA8Isw89aMethLWmokUCXAaA3Yk/funding-and-investors,1340000000,2026,"Same total-funding figure; Terran R has not yet flown (targeted late 2026 from LC-16, Cape Canaveral) so total-to-date and to-first-launch are not yet distinguishable.",https://tracxn.com/d/companies/relativity-space/__h5W7c_vzbvwpDtWeLA8Isw89aMethLWmokUCXAaA3Yk/funding-and-investors,,,,,,,,,,23500,"Reusable config with first-stage downrange landing; 33,500 kg fully expendable maximum.",,no price/cost figure found -- not computed,,"PRE-FLIGHT / PREDICTED. No commercial or target launch price was found in this research -- a genuine gap, not a guess. Company reports a $2.9B commercial launch-services backlog (bookings, not a cost figure) including an expanded SES multi-launch agreement (Nov 2025). Partially reusable (first-stage landing planned; upper stage expendable)."
Nova (Stoke Space),Nova,USA,"in development (predicted, pre-first-flight)",true,,0,1340000000,2026,"ALL FIGURES ARE PRE-FLIGHT / PREDICTED. Cumulative total company funding raised, per a February 2026 Series D extension bringing the round to $860M and the company total to $1.34B. An earlier (2024) Payload Research estimate had cited only ~$175M raised at that time -- funding has scaled rapidly since.",https://www.geekwire.com/2026/stoke-space-350m-added-funding/,1340000000,2026,"Same total-funding figure; Nova has not yet flown orbitally as of this research, so total-to-date and to-first-launch are not yet distinguishable.",https://www.geekwire.com/2026/stoke-space-350m-added-funding/,,,,,,,,,,3000,"Both stages + fairing recovered (Stoke's design target is FULL reusability, unlike the partial reuse of Falcon 9/New Glenn/Neutron); 7,000 kg in fully expendable mode.",,no price/cost figure found -- not computed,,PRE-FLIGHT / PREDICTED. No commercial or target launch price was found in this research. Funding is being used to activate Launch Complex 14 at Cape Canaveral and scale Nova production. Aims to be the first fully (not just partially) reusable orbital rocket after Starship.
Firefly Alpha,Alpha,USA,active,false,2021-09-02,7,100000000,2018,"Firefly's own 2018 estimate for Alpha-specific development cost. A secondary analyst estimate (Payload Research) instead treats Firefly's total raised capital (~$483M) as a rough development-cost proxy, but Firefly is a multi-program company (also builds Blue Ghost lunar landers and the Eclipse/MLV rocket) so that figure almost certainly overstates Alpha-specific spend -- not used here, reported for context only.",https://www.compositesworld.com/articles/the-alpha-launch-vehicle-designing-performance-in-cost-out,100000000,2018,"Same 2018 estimate, made ~3 years before first flight (Sept 2021); no separate to-first-launch figure exists.",https://www.compositesworld.com/articles/the-alpha-launch-vehicle-designing-performance-in-cost-out,,,,19000000,2024,https://en.wikipedia.org/wiki/Firefly_Alpha,,,,1030,300 km orbit; 630 kg to 500 km SSO.,18447,derived: current price / rated LEO capacity,https://en.wikipedia.org/wiki/Firefly_Alpha,"Original advertised price was $15M (circa 2021); current price is $19M (year of the increase not precisely confirmed in this research -- 2024 used as an approximate placeholder). num_flights (7) is an approximate tally of Alpha launches through mid-2026, not independently reconfirmed flight-by-flight in this research. Only operational US 1-ton-class small launcher as of this writing."
Eclipse / MLV (Firefly + Northrop Grumman),Eclipse (MLV),USA,"in development (predicted, pre-first-flight)",partial,,0,50000000,2025,ALL FIGURES ARE PRE-FLIGHT / PREDICTED. Northrop Grumman's own stated co-development investment specifically earmarked for Eclipse -- likely UNDERSTATES the true total program cost since it excludes Firefly's own R&D spend (undisclosed) as the other co-developer.,https://fireflyspace.com/news/northrop-grumman-invests-50-million-in-firefly-aerospace-to-advance-medium-launch-vehicle-named-eclipse/,50000000,2025,"Same figure; Eclipse has not flown (targeted 2027) so this and the total-program figure aren't yet distinguishable, and both understate the true cost per the caveat above.",https://fireflyspace.com/news/northrop-grumman-invests-50-million-in-firefly-aerospace-to-advance-medium-launch-vehicle-named-eclipse/,,,,,,,,,,16300,"3,200 kg to GTO. Shares first-stage design and Miranda engines with the planned Antares 330.",,no price/cost figure found -- not computed,,"PRE-FLIGHT / PREDICTED. Formerly named Firefly Beta / MLV; renamed Eclipse alongside the Northrop investment. Designed as a successor to Antares (Northrop's legacy vehicle, elsewhere in this dataset), partially reusable, first flight targeted 2027."
RS1 (ABL Space Systems),RS1,USA,"program ended Nov 2024; company pivoted to missile defense, rebranded Long Wall",false,2023-01-10,1,461000000,2024,Total company funding raised before the Nov 2024 pivot away from orbital launch (reported as 'nearly half a billion dollars' / ~$461M by Payload Research and TechCrunch). No successful orbital launch was ever achieved.,https://techcrunch.com/2024/11/15/after-raising-nearly-half-a-billion-dollars-abl-space-pivots-from-launch-vehicles-to-missiles/,461000000,2024,"Same total-raised figure; the program never reached a second launch attempt before termination, so 'to first launch' and 'total program' aren't meaningfully distinguishable here.",https://techcrunch.com/2024/11/15/after-raising-nearly-half-a-billion-dollars-abl-space-pivots-from-launch-vehicles-to-missiles/,,,,,,,,,,,Not independently verified in this research -- left blank rather than guessed.,,,,"Included as a cautionary data point rather than a going-concern vehicle: RS1's only launch attempt (Jan 10, 2023, Kodiak Island, Alaska) fell back onto the pad and exploded; the second built vehicle was destroyed during preflight ground testing in July 2024, before a second attempt could be made. ABL ended orbital launch plans in Nov 2024 citing a tough launch market and geopolitical factors (Russian invasion of Ukraine disrupting supply chains cited as a contributor), pivoting to missile-defense and hypersonic test technology, rebranded 'Long Wall' in Feb 2025."
Spectrum (Isar Aerospace),Spectrum,Germany,active development; both flight attempts to date fell short of orbit,false,2025-03-30,2,950000000,2026,"ALL FIGURES INCLUDE PRE-FLIGHT PREDICTIONS FOR PRICE. Total funding raised to date (~EUR870M, ~$950M at ~1.09 USD/EUR), including a EUR270M Series D round; used as a capex proxy since no standalone dev-cost figure is disclosed.",https://spacenews.com/isar-aerospace-raises-270-million-euros-for-global-launch-expansion/,,,No figure isolates funding raised specifically through the March 2025 maiden flight versus total-to-date; not separable from the total-funding figure above.,,,,,11700000,2025,https://spacenews.com/isar-aerospace-raises-270-million-euros-for-global-launch-expansion/,,,,1000,"Full-capacity LEO rating; company's stated cost target was EUR10,000/kg (~$11,700/kg), which is what opex_price_usd is derived from (target price/kg x payload), NOT a disclosed flat per-launch price.",11700,"company-stated TARGET cost per kg (predicted, not yet demonstrated commercially)",https://spacenews.com/isar-aerospace-raises-270-million-euros-for-global-launch-expansion/,"opex_price_usd is a back-calculated full-payload price from the company's published $/kg TARGET, not an advertised flat launch price -- flag as predicted/target, not realized revenue, since Spectrum has not yet reached orbit. Maiden flight (March 30, 2025, from Andoya Space, Norway) lost attitude control ~30s after liftoff (vent-valve issue) and was terminated; became the first orbital-class launch attempt from Continental Europe by a commercial company. A second flight attempt followed in 2026 (per ESA and Astronomy.com coverage) -- exact date and detailed outcome not independently reconfirmed in this research beyond 'also fell short of orbit.'"
RFA ONE,RFA ONE,Germany,"in development; vehicle lost in Aug 2024 ground-test explosion, pre-first-flight",false,,0,33000000,2024,ALL FIGURES ARE PRE-FLIGHT / PREDICTED. EUR30M (~$33M) convertible-debt investment from KKR plus an EUR11M DLR grant -- likely UNDERSTATES total program spend since RFA (a subsidiary of OHB SE) also draws on parent-company resources not separately disclosed here.,https://www.rfa.space/rfa-secures-30m-investment-from-kkr/,33000000,2024,"Same figure; RFA ONE has not yet reached orbit (first stage was destroyed in an Aug 2024 static-fire test explosion at SaxaVord Spaceport, Shetland) so total-to-date and to-first-launch aren't yet distinguishable.",https://www.rfa.space/rfa-secures-30m-investment-from-kkr/,,,,3300000,2023,https://www.rfa.space/german-microlauncher-start-up-rocket-factory-announces-unrivalled-low-price-of-eur-3-million-per-rocket-launch/,,,,1350,"To polar orbit; 1,500 kg to 700 km SSO.",2444,"predicted TARGET price / rated LEO capacity (pre-flight, not yet demonstrated)",https://www.rfa.space/german-microlauncher-start-up-rocket-factory-announces-unrivalled-low-price-of-eur-3-million-per-rocket-launch/,"PRE-FLIGHT / PREDICTED for both capex and price. The original EUR3M target price predates the Aug 2024 vehicle loss; a more recent per-kg framing ($3,000-4,000/kg for payloads up to 1,300 kg) was also reported and is roughly consistent. Subsidiary of German aerospace/satellite company OHB SE."
Miura 5 (PLD Space),Miura 5,Spain,"in development (predicted, pre-first-flight)",false,,0,407000000,2026,"ALL FIGURES ARE PRE-FLIGHT / PREDICTED. Total funding raised to date (>EUR350M, ~$407M), including a EUR180M Series C round and an EUR30M EIB venture-debt loan (April 2026); used as a capex proxy since no standalone dev-cost figure is disclosed. Also received EUR169M in Spanish-government-backed launch-service commitments via ESA's European Launcher Challenge (a revenue commitment, not a cost figure, so not included here).",https://spaceflightnow.com/2026/03/05/spanish-launch-startup-pld-space-raises-209-million-to-scale-its-rocket-production/,407000000,2026,"Same total-funding figure; Miura 5 has not yet flown (targeted late 2026 debut from Kourou, French Guiana) so total-to-date and to-first-launch aren't yet distinguishable. PLD Space's earlier Miura 1 (suborbital technology demonstrator, a much smaller and separate vehicle) did fly successfully in Oct 2023.",https://spaceflightnow.com/2026/03/05/spanish-launch-startup-pld-space-raises-209-million-to-scale-its-rocket-production/,,,,,,,,,,1000,Standard 2-stage configuration; 540 kg to SSO.,,no price/cost figure found -- not computed,,"PRE-FLIGHT / PREDICTED. No commercial or target launch price was found in this research -- a genuine gap. Company targets 30+ launches/year by 2030 (an aspirational cadence target, not a cost figure). Launch complex being built at Europe's Kourou spaceport."
Prime (Orbex),Prime,UK,"in development (predicted, pre-first-flight)",partial,,0,124500000,2025,"ALL FIGURES ARE PRE-FLIGHT / PREDICTED. Cumulative total funding raised (>GBP100M, ~$124.5M) across rounds from 2018 (GBP30M) through a 2024 Series D (~$20.7M) and 2025 UK government funding (~$25M); used as a capex proxy since no standalone dev-cost figure is disclosed.",https://techcrunch.com/2024/04/18/orbexs-new-funding-may-accelerate-its-prime-microlauncher-into-orbit/,124500000,2025,"Same total-funding figure; Prime has not yet flown, so total-to-date and to-first-launch aren't yet distinguishable.",https://techcrunch.com/2024/04/18/orbexs-new-funding-may-accelerate-its-prime-microlauncher-into-orbit/,,,,,,,,,,180,150 kg to SSO.,,no price/cost figure found -- not computed,,"PRE-FLIGHT / PREDICTED. No commercial or target launch price was found in this research. Designed to launch from Sutherland Spaceport, Scotland; partially reusable design (first-stage recovery planned). Was preselected (July 2025) for ESA's European Launcher Challenge (up to EUR169M available per company, a revenue/support commitment, not a cost figure)."
